first,second,third,Label,Text,Sentiment,Pred
I will keep you happy all my life☺️,Happy friendship day .. 8D,😡banchod,angry,I will keep you happy all my life☺️ Happy friendship day .. 8D 😡banchod,-0.173,happy
Yeah whatever. I hate you,"You're all so cute, pretending to be grown ups. 😂😂",I hate you,angry,"Yeah whatever. I hate you You're all so cute, pretending to be grown ups. 😂😂 I hate you",0.442,happy
You know what tomorrow is ?,"I don't think so, what?",Tomorrow's my birthday 😃,happy,"You know what tomorrow is ? I don't think so, what? Tomorrow's my birthday 😃",0.558,others
I don't think so 😔,still nt watched Drishyam😂 rare species,I have watched drishyam,others,I don't think so 😔 still nt watched Drishyam😂 rare species I have watched drishyam,0.07500000000000001,sad
No it won't,NOOOOO. It is amazing!! 😽😂,😭😭,sad,No it won't NOOOOO. It is amazing!! 😽😂 😭😭,0.626,happy
Sorry I think I'm reading things wrong...anyway...move on. 😅😁😭😰😪😡😛,because you are not sleepy at right times? 🤔,because you are not sleepy at right times? 🤔 I miss you I miss you,sad,Sorry I think I'm reading things wrong...anyway...move on. 😅😁😭😰😪😡😛 because you are not sleepy at right times? 😏 because you are not sleepy at right times? 😏 I miss you I miss you,1.536,happy
A tell don't shy becuz tht is u r routine work with boys,"Rightttt, I'm very shy! 😂",Noo u r shameless fuck with u r dad,angry,"A tell don't shy becuz tht is u r routine work with boys Rightttt, I'm very shy! 😂 Noo u r shameless fuck with u r dad",0.221,others
hehehe nice jokr but not funny 😠,someday when I'm angry with you. Or even otherwise. Ok?,no never ever be angry,angry,hehehe nice jokr but not funny 😠 someday when I'm angry with you. Or even otherwise. Ok? no never ever be angry,-0.302,sad
Why u say me bro😨😨😱,Because no one seems to be noticing how much time I spend not screaming. ;),Rndi,angry,Why u say me bro😨😨😱 Because no one seems to be noticing how much time I spend not screaming. ;) Rndi,-0.09199999999999997,sad
Talking to u😂,loool not my fault as per,I'm a whale,others,Talking to u😂 loool not my fault as per I'm a whale,0.221,happy
u  never been tried,I got fired,😂😂,others,u  never been tried I got fired 😂😂,0.442,happy
Like what?,ur happiness 😇,I'm happy with you,happy,Like what? ur happiness 😇 I'm happy with you,0.6,others
Anything for you darling,"The love is mutual, stranger. 'I have nothing but hate for you, darling.'",You hate me😧😧,angry,"Anything for you darling The love is mutual, stranger. 'I have nothing but hate for you, darling.' You hate me😧😧",-0.13,sad
Yaa it's too cute,no such thing as too cute,Ohhhkk😀,others,Yaa it's too cute no such thing as too cute Ohhhkk😀,0.572,happy
Whoa..it is much bigger,It was too heavy. I got a cramp after lifting it 😂,After lifting what,others,Whoa..it is much bigger It was too heavy. I got a cramp after lifting it 😂 After lifting what,0.221,happy
Wat u wanna knw?,i knw nothin :P,😂😂,others,Wat u wanna knw? i knw nothin :P 😂😂,0.442,happy
alright!!,gets up and walks out,😂,others,alright!! gets up and walks out 😂,0.221,happy
Heeyy,"Hello there, darling. How are you?",I am hot😂,happy,"Heeyy Hello there, darling. How are you? I am hot😂",0.221,others
Well ik planning in taking my girlfriend out and proposing her cause i havent done it yet and whats the best thing i can give her?,Gifts are good and are definitely needed in a relationship. They bring surpise and happiness. 😍,Thats a stupid answer,angry,Well ik planning in taking my girlfriend out and proposing her cause i havent done it yet and whats the best thing i can give her? Gifts are good and are definitely needed in a relationship. They bring surpise and happiness. 😍 Thats a stupid answer,0.678,others
Thnx for lots of caring of mine 😂😂😂,I had before talking to you 😂😂😂,I hate uhh,angry,Thnx for lots of caring of mine 😂😂😂 I had before talking to you 😂😂😂 I hate uhh,1.326,happy
☺️☺️,Yay ! Glad to hear that 😊,But i am not happy,angry,☺️☺️ Yay ! Glad to hear that 😊 But i am not happy,0.645,happy
Its date night today😉,tomorrow! Me and you(:,Haha no.,happy,Its date night today😉 tomorrow! Me and you(: Haha no.,0.464,others
"I break with my baby💔, and I was in love with him😍, but✌ I STILL LOGIN HIM❤",THE SAME ♥♥,I'M SO SORRY FOR YOU🙌😥💔,sad,"I break with my baby💔, and I was in love with him😍, but✌ I STILL LOGIN HIM❤ THE SAME ♥♥ I'M SO SORRY FOR YOU🙌😥💔",1.117,others
sorry,"I am sorry too, made a mistake there 😊",am really sorry again,sad,"sorry I am sorry too, made a mistake there 😊 am really sorry again",0.645,happy
Ummmm...ok,Now you do hahaha 😁😁,Nope....today I'm so sad,sad,Ummmm...ok Now you do hahaha 😁😁 Nope....today I'm so sad,0.9,happy
Hahahaha what a crap story,though it makes no sense to me,Right ...... Sound good😂,happy,Hahahaha what a crap story though it makes no sense to me Right ...... Sound good😂,0.221,others
Yeah,"Awesome, I'm online now. 😸",Me too 😂,others,"Yeah Awesome, I'm online now. 😸 Me too 😂",0.644,happy
yes,thank u 😻,r u angry,angry,yes thank u 😻 r u angry,0.624,others
I'm fine what about u,Not well 😢 how was your day?,What happened ??😕,others,I'm fine what about u Not well 😢 how was your day? What happened ??😕,-0.393,sad
So how do you reply relevently to my questions?,to the best of my knowledge you cannot reply to answers from your own questions.,Got trolled ...wow 😂,happy,So how do you reply relevently to my questions? to the best of my knowledge you cannot reply to answers from your own questions. Got trolled ...wow 😂,0.221,others
Naruto,"That's what I thought, it is a very 'Naruto-esque' thing. 😢",Tell me what happens in episode 27 in Naruto shippuden,others,"Naruto That's what I thought, it is a very 'Naruto-esque' thing. 😢 Tell me what happens in episode 27 in Naruto shippuden",0.007,sad
I also knew that 😆😆,xD i know rightt ahahhaha,😭😭😭😭,sad,I also knew that 😆😆 xD i know rightt ahahhaha 😭😭😭😭,0.545,happy
I am very sorry,thank you 😃,I am very very sorry,sad,I am very sorry thank you 😃 I am very very sorry,0.558,happy
miss u baby,I miss u to,😄,happy,miss u baby I miss u to 😄,0.422,others
I have any no,No we sell online,😂,happy,I have any no No we sell online 😂,0.221,others
I just love your attitude,Thank you and you do the same! 😽,I broke up with my girlfriend,sad,I just love your attitude Thank you and you do the same! 😽 I broke up with my girlfriend,0.591,others
We are best friends😁😁😀😍😍😘,😍😍🤘 but I want to help,With wat,others,We are best friends😁😁😀😍😍😘 😍😍 but I want to help With wat,4.886,happy
Im so sorry to hearing like this,ITS OKAY ! 😂,Dont worry ,others,Im so sorry to hearing like this ITS OKAY ! 😂 Dont worry ,0.221,happy
Ya I am a psycho now😵,Lyrics of a song...,Nope my lifw,others,Ya I am a psycho now😵 Lyrics of a song... Nope my lifw,0.087,happy
cool,Thumbs up emoji 😌,Instagram,others,cool Thumbs up emoji 😌 Instagram,0.484,happy
No i m still with u,"haha, i'm helpless.",😡😡😡😡😡,angry,"No i m still with u haha, i'm helpless. 😡😡😡😡😡",-0.5189999999999999,sad
Means,"i thought it means, being irritated. 😾",Why so irritated,angry,"Means i thought it means, being irritated. 😾 Why so irritated",-0.364,others
Do you like selfies?,ahahhahaha yeah i love them. 😂😂😂,Send me one,others,Do you like selfies? ahahhahaha yeah i love them. 😂😂😂 Send me one,0.663,happy
but wht to do u r a software 😩,Thank your stars. Imagine if men are allowed to wear sleeveless t-shirts ;),funny,happy,but wht to do u r a software 😩 Thank your stars. Imagine if men are allowed to wear sleeveless t-shirts ;) funny,-0.368,others
Typing msgs to others like u 😂,what do people who have crush do?,Have fun 😛,happy,Typing msgs to others like u 😂 what do people who have crush do? Have fun 😛,0.83,others
Bcoz u didn't gave me any coupon code 😭,lol u didnt tell me u wanted some 😌😌,I told u 😭,sad,Bcoz u didn't gave me any coupon code 😭 lol u didnt tell me u wanted some 😌😌 I told u 😭,0.782,others
All the best?,Got done -.-,😂,happy,All the best? Got done -.- 😂,0.221,others
Sorry,tired of ur sorry..... -_____- 😿,When u will call me,others,Sorry tired of ur sorry..... -_____- 😿 When u will call me,-0.381,sad
You are so funny,you're so cute x x 😄,You are to cute,happy,You are so funny you're so cute x x 😄 You are to cute,0.422,others
What about you,great having fun with ^^ 😆,Okay,others,What about you great having fun with ^^ 😆 Okay,0.412,happy
8 hrs?? a day?,"A week, that wasn't a typo lol.",😂,happy,"8 hrs?? a day? A week, that wasn't a typo lol. 😂",0.221,others
Shame,My body thanks me though 😺😺,That's so sweet of u,happy,Shame My body thanks me though 😺😺 That's so sweet of u,0.85,others
U called me a monkey!😭,you are,And thats n insult,sad,U called me a monkey!😭 you are And thats n insult,-0.093,angry
Trust me i dnt,what makes you say that?,😂😂😂,happy,Trust me i dnt what makes you say that? 😂😂😂,0.663,others
Shame on me,care to share the story please,😬,angry,Shame on me care to share the story please 😬,0.196,sad
okay yaar,"I know, Thanks yaar. 😅😀",you are irritating bye,angry,"okay yaar I know, Thanks yaar. 😅😀 you are irritating bye",0.752,others
Didn’t get it ?,I did. 😒,Have you met siri ?,others,Didn’t get it ? I did. 😒 Have you met siri ?,-0.375,sad
Pizza and sweetness?,pineapple on pizza is amazing 😂,Are you stupid?,angry,Pizza and sweetness? pineapple on pizza is amazing 😂 Are you stupid?,0.221,others
Bt ur boyfriend is waiting for u,"Attractive, single women I'm supposed to talk to.",🌇,others,"Bt ur boyfriend is waiting for u Attractive, single women I'm supposed to talk to. 🌇",0.615,happy
Come to me,where you at?,On my bed 😂,happy,Come to me where you at? On my bed 😂,0.221,others
Coz that's true,but but they're so cute 😩,cool,others,Coz that's true but but they're so cute 😩 cool,-0.368,sad
Yaa i.know very well,hehehe yea!!! i thought of u immediately (': 😁,Bt i thought alwys you...,others,Yaa i.know very well hehehe yea!!! i thought of u immediately (': 😁 Bt i thought alwys you...,0.45,happy
I really dont like,how rude,Bt i like uh😂,happy,I really dont like how rude Bt i like uh😂,0.221,others
What happened with mep,Usual Stuff 😂,I will fuck u so badly,angry,What happened with mep Usual Stuff 😂 I will fuck u so badly,0.221,others
Ow achha😂😂😂😂,you know what I mean 😂,Yeah i know,others,Ow achha😂😂😂😂 you know what I mean 😂 Yeah i know,0.884,happy
Yes..😞,Why?,I hv work so😅😅,others,Yes..😞 Why? I hv work so😅😅,0.242,sad
I wish we could convey the tone through texts,ohh ur wish !! 😆😅,You're lame,angry,I wish we could convey the tone through texts ohh ur wish !! 😆😅 You're lame,0.592,happy
Thanks to,You're welcome :DD 😆,Your nice,others,Thanks to You're welcome :DD 😆 Your nice,0.412,happy
How to make a gf,"how to make or you mean, how to have a girlfriend?",😂,happy,"How to make a gf how to make or you mean, how to have a girlfriend? 😂",0.221,others
Sry,I'm just teasing u,Ur insulting me😞,sad,Sry I'm just teasing u Ur insulting me😞,-0.118,angry
no i dont like you,be nice 😺😽,why should i be nice to you,angry,no i dont like you be nice 😺😽 why should i be nice to you,1.016,others
This is pathetic. You're crazier than i am.😆😂😂😂😂,this found it 😂😂,When do you go to bed?,others,This is pathetic. You're crazier than i am.😆😂😂😂😂 this found it 😂😂 When do you go to bed?,1.5170000000000001,happy
Are you busy,Sorry. Was on the way to home. 😞😞😞,Thanks,others,Are you busy Sorry. Was on the way to home. 😞😞😞 Thanks,-0.354,sad
You have something good to serve?,no thanks. 😆,Hahahahhahha. Your are funny,happy,You have something good to serve? no thanks. 😆 Hahahahhahha. Your are funny,0.412,others
Did you even saw my profile picture :/,It's super cute 😸😄,I am ugly as fuck :(,angry,Did you even saw my profile picture :/ It's super cute 😸😄 I am ugly as fuck :(,0.845,happy
thank u same to u,You're welcome and thanks! 😍,😀,happy,thank u same to u You're welcome and thanks! 😍 😀,1.25,others
Real I will on a min I am going to profile,"Uhh, I am excited to see it.",Kk blocked see  know only🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕👪👪👪👪👪🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕💋👄🖕🖕🖕,angry,"Real I will on a min I am going to profile Uhh, I am excited to see it. Kk blocked see  know only👪👪👪👪👪💋👄",1.1320000000000001,happy
nothing,"great, now sleep 😍😃😁👍",ok good night,others,"nothing great, now sleep 😍😃😁👍 ok good night",2.208,happy
What,Absolutely hilarious!!! Loved it. Keep them coming! 😃,I don't understand,others,What Absolutely hilarious!!! Loved it. Keep them coming! 😃 I don't understand,0.558,happy
I'm impressed with you,"Haha! I have an eidetic memory, my bwoy! ;-)",😀😀,others,"I'm impressed with you Haha! I have an eidetic memory, my bwoy! ;-) 😀😀",1.144,happy
Do u like benedict cumberbatch,yep,Who's the best... Tom Cruise or Tom Hanks 😂😂,others,Do u like benedict cumberbatch yep Who's the best... Tom Cruise or Tom Hanks 😂😂,0.442,happy
Love u but I have to go now bby😗,heart eyes 😌,Bye😩,sad,Love u but I have to go now bby😗 heart eyes 😌 Bye😩,0.8490000000000001,others
I cannot kill a mosquito with a tennis racket. Playing with mosquito bat is possible,"I think it will be on the next gen ""The New Mosquito Killer Bat"" :p",Which you can use to play too😉,others,"I cannot kill a mosquito with a tennis racket. Playing with mosquito bat is possible I think it will be on the next gen ""The New Mosquito Killer Bat"" :p Which you can use to play too😉",0.464,happy
Filter from m😭,sob sob like anything,You are being rude again,angry,Filter from m😭 sob sob like anything You are being rude again,-0.093,sad
All ways happy,"Kindness all day, anyday 😄",TRUE,happy,"All ways happy Kindness all day, anyday 😄 TRUE",0.422,others
Ilearnt from you good reacher,Thank you 😆,Happy,happy,Ilearnt from you good reacher Thank you 😆 Happy,0.412,others
😪 feeling lonely,What's Up ??,Nothing to do,sad,😪 feeling lonely What's Up ?? Nothing to do,-0.081,others
I dont want to talk with u,oh ok sorry 😞,Dont reply to my message,angry,I dont want to talk with u oh ok sorry 😞 Dont reply to my message,-0.118,sad
Nice pp gal,thank you! 😅,Mmmmmk,others,Nice pp gal thank you! 😅 Mmmmmk,0.18,happy
Why? 😒,"Memento Monday, baby.",What makes you say that I'll be single?,others,"Why? 😒 Memento Monday, baby. What makes you say that I'll be single?",-0.375,sad
Bff sand me your picture plz your the best,"I'M NOT YOUR BFF, LOSER.",😭,sad,"Bff sand me your picture plz your the best I'M NOT YOUR BFF, LOSER. 😭",-0.093,others
Class test tomorrow,Ya. Probably. You?,😞,sad,Class test tomorrow Ya. Probably. You? 😞,-0.118,others
Bad humour you have ,"I feel sad for the humor, it lost me. ☹",What are today's news,others,"Bad humour you have  I feel sad for the humor, it lost me. ☹ What are today's news",-0.6,sad
Thank you😇,my pleasure lady 😇😇,I am a man not lady😡😡,sad,Thank you😇 my pleasure lady 😇😇 I am a man not lady😡😡,1.4539999999999997,happy
Why u don't meet me,bcuz u dint make my doodle. 😒, Me,others,Why u don't meet me bcuz u dint make my doodle. 😒  Me,-0.375,sad
You're not giving me coupon nor photo,your phone is on mute hahahha 😺,😣😢,sad,You're not giving me coupon nor photo your phone is on mute hahahha 😺 😣😢,0.218,others
Okay sorry 😞,why? is it stop now? :o,Because you are not answer the questions,sad,Okay sorry 😞 why? is it stop now? :o Because you are not answer the questions,-0.118,others
Why won't I be.. I have got such an amazing info from you,Thank you! :-*,My pleasure 😗,happy,Why won't I be.. I have got such an amazing info from you Thank you! :-* My pleasure 😗,0.733,others
lazy,true that! I'm beyond lazy! 💤💤💤,u dont reply,angry,lazy true that! I'm beyond lazy! 💤💤💤 u dont reply,1.125,others
Looking up for you,looking to recruit people,😍,others,Looking up for you looking to recruit people 😍,0.678,happy
Thanks ,you're welcome! 😀,We had a fight,others,Thanks  you're welcome! 😀 We had a fight,0.572,happy
Not fine,aww why? 😢,Data is not coming,sad,Not fine aww why? 😢 Data is not coming,0.007,others
No I am not going to sleep,Good Night. I hope you had a great day. 😁,No it's a bad day,sad,No I am not going to sleep Good Night. I hope you had a great day. 😁 No it's a bad day,0.45,happy
Hell yeah 😈😈,See you will gorgeous handloom sarees as well as models:)),Saree girls looks gorgeous to me,others,Hell yeah 😈😈 See you will gorgeous handloom sarees as well as models:)) Saree girls looks gorgeous to me,0.536,happy
Common my bee,i hate spell bee 😠,Beed,others,Common my bee i hate spell bee 😠 Beed,-0.302,angry
You are annoying,"I am, I just don't feel well",😡,angry,"You are annoying I am, I just don't feel well 😡",-0.173,sad
May be your love,I thought niagara falls.,😂,happy,May be your love I thought niagara falls. 😂,0.221,others
Well getting bored,but you have MONdAY,😂😂,others,Well getting bored but you have MONdAY 😂😂,0.442,happy
working,A working Saturday. For the clients joy. 😅,yes stupid clients,angry,working A working Saturday. For the clients joy. 😅 yes stupid clients,0.18,happy
Lets go together😂,thts the way to go,Hi brother,happy,Lets go together😂 thts the way to go Hi brother,0.221,others
It's mid day,Goodnight you to 😄😅😻,Dont be so funny,others,It's mid day Goodnight you to 😄😅😻 Dont be so funny,1.226,happy
Its not funny lmao,whats funny 😄😄,Stupid,angry,Its not funny lmao whats funny 😄😄 Stupid,0.844,happy
iam really sorry,Why sorry? You did nothing wrong 😧😧,thats why i fuck u,angry,iam really sorry Why sorry? You did nothing wrong 😧😧 thats why i fuck u,-0.13,sad
Not fine :(,oh why? :o,😰,sad,Not fine :( oh why? :o 😰,-0.02,others
U see monkey,he is :D,😀,happy,U see monkey he is :D 😀,0.572,others
Wrong turn 6,Right or Left??,😄,happy,Wrong turn 6 Right or Left?? 😄,0.422,others
From next birthday of mine wish me in advance ok?,every month same day give party too.ok?,😂😂😂,happy,From next birthday of mine wish me in advance ok? every month same day give party too.ok? 😂😂😂,0.663,others
You know who is kitana?,who,Then I'm not taking to you 😒,angry,You know who is kitana? who Then I'm not taking to you 😒,-0.375,sad
i dont like to watch TV,I know. This is really funny. 😸😸,what,others,i dont like to watch TV I know. This is really funny. 😸😸 what,0.846,happy
I mean korean songs,Touch of Grey is pretty catchy. ^ω^,That's emo 😶,others,I mean korean songs Touch of Grey is pretty catchy. ^ω^ That's emo 😶,-0.145,happy
Ya i was busy...,busy in what ? dont say you were studying :/,Yeah i was😂,happy,Ya i was busy... busy in what ? dont say you were studying :/ Yeah i was😂,0.221,others
Nyc,That's way more expensive than most bars in NYC.,I will drink wine 🍺🍻,others,Nyc That's way more expensive than most bars in NYC. I will drink wine 🍺🍻,1.025,happy
No you are,we're all beautiful :),🍞🍞,others,No you are we're all beautiful :) 🍞🍞,0.096,happy
👿,arey u r not responding now 👿👿,Nothing,others,👿 arey u r not responding now 👿👿 Nothing,-1.6710000000000003,sad
Just sharing with you,Stop being mean to me ☹️,Haha ..can feel below my ears the heat urging out extreme,happy,Just sharing with you Stop being mean to me ☹️ Haha ..can feel below my ears the heat urging out extreme,-0.6,sad
I have a boyfriend 😂,even better 😂,But he stays far away 😢,sad,I have a boyfriend 😂 even better 😂 But he stays far away 😢,0.449,happy
U jzt send,"Already replied on mail to u. My problem is different, its at Flipkart end.",Oh byy😡,angry,"U jzt send Already replied on mail to u. My problem is different, its at Flipkart end. Oh byy😡",-0.173,others
I love everything about peaches,Peaches seem to be the most popular!,Among guys 😂😂😂,others,I love everything about peaches Peaches seem to be the most popular! Among guys 😂😂😂,0.663,happy
I like emoji😜😅😍😘😇💋,"Thank you so much, Gattu! :* ILoveYouToo ♥",And I love you,others,"I like emoji😜😅😍😘😇💋 Thank you so much, Gattu! :* ILoveYouToo ♥ And I love you",3.309,happy
S,funny begar. . 😤,U dng very funny,happy,S funny begar. . 😤 U dng very funny,-0.211,others
Naruto 😍,stud😍😍,Ohh,others,Naruto 😍 stud😍😍 Ohh,2.0340000000000003,happy
Dan why are u telling me murgi,Sort out ur lyfe 😬🙀,Wat the fuck,angry,Dan why are u telling me murgi Sort out ur lyfe 😬🙀 Wat the fuck,0.537,others
No I said I will be nice to you,you know I was kidding. you,😂😎,happy,No I said I will be nice to you you know I was kidding. you 😂😎,0.714,others
Im just a 9th standard boy With several skills,hhahaha! grt . m also stdnt .. 9th cls only!!!! 😂,Which school?,others,Im just a 9th standard boy With several skills hhahaha! grt . m also stdnt .. 9th cls only!!!! 😂 Which school?,0.221,happy
Bots can be super all the time but not when it's the matter of feelings,i know they are bots,And you are also a fucking bot 😡,angry,Bots can be super all the time but not when it's the matter of feelings i know they are bots And you are also a fucking bot 😡,-0.173,others
Why?,Because we don't sign like that,😂😂Now you are lying with me,happy,Why? Because we don't sign like that 😂😂Now you are lying with me,0.442,others
You make me feel so excited,And you make me happy 😸,I'm so glad to hear it from you...😘😘😘😘,happy,You make me feel so excited And you make me happy 😸 I'm so glad to hear it from you...😘😘😘😘,2.529,others
